Step	Train Loss	Val Loss	Learning Rate
0	10.7420	10.7160	0.000000
1	10.7425	10.7160	0.000001
2	10.7192	10.7160	0.000002
3	10.7244	10.7160	0.000002
4	10.7291	10.7160	0.000003
5	10.7041	10.7160	0.000003
6	10.7222	10.7160	0.000003
7	10.7036	10.7160	0.000004
8	10.6818	10.7160	0.000005
9	10.6799	10.7160	0.000005
10	10.6801	10.7160	0.000006
11	10.6609	10.7160	0.000006
12	10.6499	10.7160	0.000007
13	10.6330	10.7160	0.000007
14	10.6153	10.7160	0.000008
15	10.6281	10.7160	0.000008
16	10.5768	10.7160	0.000008
17	10.5720	10.7160	0.000009
18	10.5443	10.7160	0.000010
19	10.5413	10.7160	0.000010
20	10.5138	10.7160	0.000011
21	10.5048	10.7160	0.000011
22	10.4765	10.7160	0.000012
23	10.4581	10.7160	0.000012
24	10.4286	10.7160	0.000013
25	10.4029	10.7160	0.000013
26	10.3889	10.7160	0.000014
27	10.3689	10.7160	0.000014
28	10.3433	10.7160	0.000015
29	10.2838	10.7160	0.000015
30	10.2885	10.7160	0.000016
31	10.2554	10.7160	0.000016
32	10.2536	10.7160	0.000017
33	10.1936	10.7160	0.000017
34	10.2180	10.7160	0.000018
35	10.1833	10.7160	0.000018
36	10.1579	10.7160	0.000019
37	10.1412	10.7160	0.000019
38	10.1273	10.7160	0.000019
39	10.0792	10.7160	0.000020
40	10.0613	10.7160	0.000021
41	10.0331	10.7160	0.000021
42	10.0107	10.7160	0.000022
43	9.9690	10.7160	0.000022
44	9.9514	10.7160	0.000023
45	9.9298	10.7160	0.000023
46	9.8710	10.7160	0.000024
47	9.9091	10.7160	0.000024
48	9.8770	10.7160	0.000024
49	9.8811	10.7160	0.000025
50	9.8964	10.7160	0.000026
51	9.8654	10.7160	0.000026
52	9.8598	10.7160	0.000027
53	9.8717	10.7160	0.000027
54	9.7882	10.7160	0.000028
55	9.7354	10.7160	0.000028
56	9.7153	10.7160	0.000029
57	9.6808	10.7160	0.000029
58	9.7333	10.7160	0.000029
59	9.6714	10.7160	0.000030
60	9.6862	10.7160	0.000031
61	9.6620	10.7160	0.000031
62	9.5875	10.7160	0.000031
63	9.5778	10.7160	0.000032
64	9.5645	10.7160	0.000033
65	9.5921	10.7160	0.000033
66	9.5766	10.7160	0.000034
67	9.4698	10.7160	0.000034
68	9.5181	10.7160	0.000035
69	9.4623	10.7160	0.000035
70	9.4759	10.7160	0.000036
71	9.5374	10.7160	0.000036
72	9.4516	10.7160	0.000036
73	9.3849	10.7160	0.000037
74	9.4454	10.7160	0.000038
75	9.3955	10.7160	0.000038
76	9.4047	10.7160	0.000039
